Source,Target,Weight
双十,老天爷,2
双十,块钱,2
双十,护舒宝,2
双十,完,1
双十,退,1
双十,少,1
双十,囤,5
双十,自由,3
双十,超市,1
双十,网上,1
双十,回,1
双十,智商,1
双十,箱,1
双十,幸亏,1
双十,真的,2
双十,太,2
双十,缺德,2
双十,看着,2
双十,天,2
双十,没长,1
双十,痘,1
双十,激素,1
双十,稳定,1
双十,点,1
双十,塌,1
双十,措手不及,1
双十,液体,1
双十,细数,1
一买,老天爷,2
一买,双十,5
一买,块钱,2
一买,护舒宝,2
一买,液体,2
一买,完,1
一买,退,1
一买,半价,1
一买,网上,1
一买,便宜,1
一买,回,1
一买,智商,1
一买,痘,1
一买,激素,1
一买,稳定,1
一买,自由,2
一买,点,2
300,老天爷,2
300,双十,2
300,一买,2
300,块钱,2
300,护舒宝,2
300,液体,2
300,算,2
300,类产品,1
300,甲醛,1
300,含量,1
300,低于,1
300,毫克,1
300,公斤,1
300,禁用,1
300,可分解,1
300,小米,1
300,删博,1
300,背后,1
300,藏,1
300,亿,1
300,市场,1
300,财富,1
300,密码,1
300,32,1
300,面积,1
300,万平方米,1
300,米,1
300,见,1
300,绿,1
300,500,1
块钱,老天爷,2
块钱,护舒宝,2
块钱,液体,2
块钱,算,2
块钱,女,2
块钱,量,1
块钱,得花个,1
块钱,生理需求,1
块钱,贵,1
块钱,难用,1
块钱,评评,2
块钱,月,2
块钱,翻新,4
块钱,增,2
块钱,超标,2
块钱,夹层,2
块钱,虫,2
护舒宝,液体,10
护舒宝,算,2
护舒宝,真的,4
护舒宝,月,2
护舒宝,换,2
护舒宝,特别,2
护舒宝,误买错,2
护舒宝,高洁,17
护舒宝,舒特,4
护舒宝,第一次,1
护舒宝,难用,2
护舒宝,陷入,1
护舒宝,沉思,1
护舒宝,洁婷,12
护舒宝,苏菲,14
护舒宝,荧光,1
护舒宝,用户,1
护舒宝,达标,1
护舒宝,无大语,1
护舒宝,背刺,1
护舒宝,贵族,2
护舒宝,棉有,2
护舒宝,知名品牌,1
护舒宝,薇,1
护舒宝,花王,4
护舒宝,贵,1
护舒宝,能用,3
护舒宝,超爱,1
护舒宝,早,1
护舒宝,说,1
护舒宝,股,1
护舒宝,艹,2
护舒宝,管管,1
护舒宝,翻新,2
护舒宝,自由,2
护舒宝,点,2
护舒宝,爆雷,1
护舒宝,负责人,1
护舒宝,益生菌,1
液体,算,2
液体,真的,3
液体,羊毛,6
液体,难以,4
液体,驱走,4
液体,痒,2
液体,舒服,4
液体,荧光,1
液体,用户,1
液体,达标,1
液体,背刺,1
液体,苏菲,2
液体,贵族,2
液体,绝,2
液体,盒,1
液体,锁住,1
液体,表面,1
液体,超爱,1
液体,说,2
液体,股,1
液体,用过,2
液体,细数,1
液体,行业,1
液体,罪,1
