博主id,用户昵称,性别,粉丝数,关注数,是否大V,微博认证,个人简介,svip等级,score
1000785181,云随朗月行,f,123,241,False,,,0,1.0
1002288604,拳2022,f,58,132,False,,,1,1.0
1002447087,秦霜夏至,m,70,603,False,,,0,1.0
1003072032,晨柳1207,f,23308,4211,True,,我频繁记录着，只因为生活值得,1,2.6666666666666665
1003359597,仔仔妈芒果果,f,8116,1641,False,,Love is the only selection.,0,1.0
1003388577,焦糖辣子鸡B,m,190,1684,False,,Frighting Jet!!!,0,3.0
1003811575,手机用户1003811575,f,91,37,False,,,0,1.0
1003981444,VivianShenhui,f,68,46,False,,,0,1.0
1004785064,雨夜夜虹,f,312154,4070,True,,星星温柔泛滥 ，人间至善。,1,3.5
1005161231,照晚凉,f,87,90,False,,东风随春归，发我枝上花。,0,4.0
1005485492,钢铁泰罗平安健康,f,229,264,False,,七十亿人口，一百四十亿瓣屁股。,0,2.0
1006271264,linshuxiao,f,218,366,False,,,0,1.0
1006432985,丶爱吃茼蒿的猫,f,53,379,False,,喝过半杯西冷茶，热过半天烟花、,0,1.0
1006917400,夏日的晴空12,f,19,1044,False,,,0,1.0
1007614311,体说_,m,305137,4250,True,,看到她的时候，我想到了岁月静美,1,6.333333333333333
1007664983,凉城玖梦空人心,f,589,471,False,,荆棘中复仇的玫瑰,1,1.0
1008517214,危亭望极123,f,58,61,False,,,0,6.0
1009247657,想退休的张大婷,f,111,145,False,,张大婷的碎碎念,1,4.0
1014228624,还是挺爱吃五花肉的,f,83,811,False,,排万难而前行，乃人生之天职也,1,2.0
1014265201,阿檬1979,f,20,68,False,,,0,1.0
1015994584,金懵懵的babystay,f,7,160,False,,,0,1.0
1016206351,潘医生o呵护心身同样重要o,f,103605,285,True,,医学博士，副教授，硕士研究生导师，二十余年精神科临床经验，擅长双相障碍、抑郁症、焦虑症的诊疗，对酒精所致精神行为异常有经验。,1,1.0
1017334131,吾小旭,f,566,685,False,,保持一顆邪惡的童心看待整個世界,0,1.0
1017381982,招佬,m,5299,942,True,,摄影、自驾、户外、旅游,0,2.0
1018801524,用户f8tr142jx6,m,19,174,False,,,0,1.0
1019821323,轻轻小舟1,f,353,527,False,,,1,1.0
1023047823,wjdong81,m,468,2635,False,,,0,1.0
1024369225,烟柳迷离,f,379,61,False,,,0,1.0
1025087970,小米草Lilia,f,208,62,False,,幸福是一种能力，好好生活，不开心了就过会儿再笑。,0,1.0
1029143657,暴走的枇杷王,m,77,478,False,,,2,1.0
1030417564,雨丝风片1999,f,222,543,False,,镇魂,0,2.0
1030519252,不予尽时,f,2088,153,False,,人生海海 爱且期待,1,1.0
1030650343,X柚子糖tang,f,455,160,False,,用时间去看人,0,1.0
1031088207,长弓在手2024,m,7,26,False,,,0,1.0
1031181440,张巧嘴儿她爹,m,2235,4232,False,,戒网三天,0,1.0
1033260715,柚见锦鲤,f,244,2964,False,,Joanna Wang我的爱 想爬过墙给你惊喜。,1,1.6666666666666665
1034312595,豆沙一定要甜,f,38,334,False,,开心果一枚～@许凯,1,1.0
1035477274,冬日暖阳888,f,526,308,False,,我就象冬天里的一把火，照亮着世界，温暖着世界。,0,1.0
1035794513,殷氏拾柒,f,190,1942,False,,记琐事，述平生，录我余生。,0,1.0
1036104957,镀金沙漏,m,106,124,False,,,1,1.0
1039600335,用户ib9wla0zf3,m,250,324,False,,,0,1.0
1040016017,小小橘子baijia,f,9,83,False,,做自己,0,1.0
1040848625,夜雨微澜风,m,264,1719,False,,,0,1.0
1041026682,伞木西梅,m,27,126,False,,抱歉，我不太会讲话👉👈   莉可丽丝垃圾番,0,1.0
1044564883,清栀阿i,f,45,52,False,,网瘾妇女,0,3.0
1045268551,五和之人从众,m,340,123,False,,,0,1.0
1046386523,AD泡泡00,m,83,340,False,,夜深忽梦少年事  抬眼人已到深秋,0,3.2333333333333334
1049871601,丁丁当当就是我,f,21,715,False,,,0,1.0
1051463541,刘学义一心一义,f,16859,2675,True,,养耗不易，单取拉黑，误关、不互的私信我移除。,1,1.9
1053015781,小奶糕爱小未来,f,116,52,False,,内心填不满的小孩,0,2.0
1053119531,凉薄的猪,f,104,51,False,,,0,1.0
1055530150,LYT小龙女,f,866,484,True,,余生做自己喜欢的事，爱自己喜欢的人！,1,1.6666666666666665
1060110805,姻缘的天真,m,739,877,True,,以金相交，金耗则忘; 以利相交，利尽则散；以势相交，势败则倾；以权相交，权失则弃；以情相交，情断则伤；唯以心相交，方能成其久远。,1,1.0
1061366524,666不负韶华666,f,135,260,False,,越努力越幸运,1,1.0
1061629975,博弈-game,m,271,88,False,,知己知彼，百战不殆,0,1.0
1062317367,一颗熟香菜,f,219,127,False,,ʚ🐷ɞ,7,1.0
1062436860,看度视频,f,586,55,False,,做人有尺，做事有度！,0,1.0
1062998712,阳儿沉寂光华,f,86,150,False,,"我样样都有,并且有余",0,3.0
1063871754,大概约在秋天,m,187,260,False,,正常人够我富议论性麽？,1,1.0
1065683972,roii_kurawwYzz,f,11780,1831,False,,接画稿🥰B站ID：為了夢的少年(主张真源)｜游沐沐骋怀(游戏&板绘),0,1.0
1066561272,书拉密女-晴熙,f,99,685,False,,,1,1.0
1068036370,写个作业要急死我呀,f,47,904,False,,,0,1.0
1068688121,郑小妮,f,1305,229,False,,,0,1.0
1068755060,不停掉毛毛毛毛毛,m,305,696,False,,"猎人连载完结日 家祭无忘告乃翁 | See my purse, i'm a poor, poor man",0,1.0
1069033350,女战神Dolphin,f,130,339,False,,,4,1.0
1069292595,黑天鹅316,m,634,5077,False,,,0,1.0
1069388900,沉迷学术的喵,f,228,584,False,,上不知天文，下不知地理,6,1.0
1070340190,第N朵玫瑰,m,334,588,False,,夫哀莫大于心死，而人死亦次之.,0,1.0
1070801234,自在9好,f,65,52,False,,爱读书，爱旅游，爱睡觉，爱自己，爱美人，爱一切美好的事物。,0,1.0
1071193922,小小非,f,27,373,False,,,0,1.0
1071251652,第8号当铺的,f,2573,1570,False,,人生有时可以平淡，有时也需要一些风浪；人生如果太安逸了就会被生活所累。大海只有碰到礁石，才会激起美丽的浪花，人生就是如此……,0,1.0
1071408382,半夏的渡口,f,363,620,False,,爱生活，爱自己,1,1.0
1072234963,洛阳牡丹慕梓楠,f,272,871,False,,唯有牡丹真国色，花开时节动京城！,0,2.0
1072525363,王小猪不要胖到滚呀滚,f,1334,540,False,,：）,0,1.0
1074045687,南方有林淮,f,42,185,False,,"我没有能力改变世界,所以也别把你的观点强加到我的身上 尤其某些nt",1,1.0
1074442060,可可心诶i,f,149,1646,False,,做好自己,2,1.0
1077636174,FuriousUnicorn,f,122,212,False,,USF,0,1.0
1078066373,点滴实践-王华,m,144,137,False,,独立思考，实修实行,0,1.0
1080814012,托帕兹,f,343924,504,True,,一个私人号！私人号！私人号！ 发表的一切内容仅代表个人观点。Solo追星，不约人。,1,0.0
1080890551,清野巽,f,25985,834,False,,BJD妆师 自制tag＃野航人形＃ 店：清梦野萍 妆则可以看置顶 （第三个字读“训”😂😂）,0,1.0
1081020427,o上官飞云o,m,737,3441,True,,时间就是下班杀猪刀,0,1.0
1082678473,姿曵麇,m,80,43,False,,Illegal photography go away bitch,0,2.0
1083042072,柒柒复兮兮,f,223,88,False,,天下熙熙皆为利来，天下攘攘皆为利往,0,1.0
1085188611,笑一笑,f,384,5537,False,,,0,1.0
1088974095,云卷云舒0oo,f,50,112,False,,,0,1.0
1093185102,媛豆丁oO,f,388,626,False,,原@世界上最后一个德芙女孩 挚爱尼撒组合！intp-a科学至上主义厌蠢者！不与f人论长短！微博厕所不定时倒垃圾，满满的负能量！,0,1.0
1095009072,百田八方斋,f,583,650,False,,过往不恋，当时不杂，未来不迎。,0,1.0
1096564257,只是當時已枉然灬,m,34,308,False,,不同的选择，造就的不同的人生，错了是经历，对了是幸运，有对有错才是人生，坚持自己活在当下。,1,1.0
1096761493,菠萝椰果布丁,f,28448,1971,False,,冬も头は夏の热中 症の今日も君を爱密集,0,1.0
1097026137,用户wkt215yjox,m,134,5240,False,,,0,1.0
1099500365,shinny-ti,f,15,392,False,,,0,1.0
1100161162,名名叫名名,f,82,303,False,,,0,1.0
1100522282,就是早上起不来晚上不睡着,m,14,43,False,,励志成为早睡人,0,1.0
1101213024,女巫8808,f,7,150,False,,,0,1.0
1102134924,夏天来临前瘦20斤,f,49,64,False,,,0,1.0
1103153981,不想上班我不想上班我不想上班,m,272,122,False,,,0,2.0
1103829191,云南旅游忆旧喜新,m,268316,1024,True,,自驾游爱好者！穿越名山大川，游历大江南北，看过星辰大海，真心相待不辜负！,1,1.6666666666666665
1104445424,扯淡的青春1104445424,m,915,1645,False,,,0,1.0
1104502132,维D2磷葡水果糖,f,34,354,False,,“你管的着吗”和“关我什么事”，能解决大部分烦恼。,0,1.0
1105352401,Y-月亮坠落一千次,f,288,2205,False,,高强度转发博主,0,2.0
1106108567,翌晨mm_652,f,79,996,False,,,0,2.0
1106992915,山瑾不知归处,f,1.4万,1986,True,娱乐博主 超话粉丝钻咖（Ruka超话）,有在认真生活 Ⅰ 镇魂,6,2.9
1109000252,似风的凤168,f,38,303,False,,简单,0,1.0
1109702715,Hii哈哈,m,165,438,False,,,0,1.0
1110013170,艾秋RJL,f,26550,3225,True,,半盏清欢留予己，不负人间朝与暮。,1,1.9
1110125650,百合厨一败涂地,f,216,479,False,,要做一个足够自私的人。,0,1.0
1110578380,我喜欢的少年阿,m,18,226.0,False,,佑众相渡他.,1,1.0
1111546413,海底的钢丝球,f,114,863,False,,,0,1.0
1112498141,LJL_liz,f,305,1659,False,,冤种大学生（写论文版）/成分复杂的杂食党/佛系追星人/[镇魂or曹操],0,1.0
1114141955,李小帐篷世人知,m,561,1403,False,,,0,1.0
1115150735,市民叨叨,m,5,137,False,,,0,1.0
1115288994,风华似沙,f,21,149,False,,,0,1.0
1115620540,Keiko小姐_吃瓜中_乆浾,f,99991,4397,True,,,1,1.9
1115802490,手机用户1115802490,m,34,245,False,,,0,1.0
1118349140,乖宝贝宝贝乖,f,265,828,False,,,1,1.0
1130378333,王小妞zoe,f,185,203,False,,,0,1.0
1132213400,彻帝君临,f,9,277,False,,且将新火试新茶。诗酒趁年华。,0,1.0
1132298592,Cssssss-9797,f,174,958,False,,,0,1.0
1132355963,喵星卡卡西,f,1160,247,False,,,0,2.0
1134435594,爱跳的兔子,f,263,3697,False,,,0,1.0
1134661262,子淼00,f,145,355,False,,"很宅,喜欢看小说,喜欢十字绣,喜欢看电视,喜欢猫咪，喜欢幻想",0,1.0
1135394643,爱心爱与,f,193,235,False,,没关系，真的没关系，，，，，，,0,1.0
1135730184,Joe_Solo,m,675,1852,False,,早安，午安，晚嗨,0,1.0
1136572913,214nn阡陌,f,1315,376,False,,☆墙头众多☆不定期刷屏☆关注需谨慎☆不混圈☆无组织散粉☆高冷逗比随心切换☆,0,1.0
1140595821,xin1920064,f,70,294,False,,一个普通人。,0,1.0
1141226790,伊颜难见,f,268,714,False,,一个会看相的妞,0,1.0
1143749671,米兰狂人,m,58,412,False,,,0,1.5
1144961534,言今Chloe,f,234,615,False,,迷茫和堕落，就是，活着的参差,2,1.0
1145387557,卯卯呜呜呜啾,f,271,101,False,,希望你善良，也希望你善良得有原则。,0,1.0
1148209967,daill8,m,405,2010,False,,,0,2.0
1149745784,天天天蓝蓝啊,m,3057,2875,False,,万事从来风过耳，一生只是自由身。,0,2.0
1149956613,张慧林,m,2604084,5647,True,,南京市纪委廉政观察员  江苏省科普志愿者  微博自媒体作者,1,0.0
1150132404,把姓倒过来也可以的呦,f,460,983,False,,,0,1.0
1150978731,蛋蛋0610,f,391,287,False,,人猪殊途,1,1.0
1151263193,白日梦里睡不足,m,285,648,False,,只是当时已惘然,0,1.0
1152414371,阿尔卑斯山的天空2011,f,1370,452,False,,慢活，也是一种生活态度！,0,1.0
1153494495,秋小曦_,f,208472,913,True,,一个娇小，短发的网络作家，喜欢记录和分享生活，至于年龄，你猜猜看(｡･ω･｡)ﾉ♡,1,1.0
1154723553,电台伊宁,f,3790,486,False,,,1,1.0
1156895524,加肥猫斯基,f,250,658,False,,饱吃红莲香饭，侬家便是仙家。,0,1.0
1157130790,爱兮贝尔GY,f,1125,682,False,,听听相声，舒筋活络；哼哼戏曲，神清气爽……,0,1.0
1158243444,南极看不见北斗,f,1446,1404,False,,怕无归期 怕空欢喜 怕来者不是你…,1,4.0
1159610173,环球书屋,m,209455,3534,True,,一本书，一个世界，带你领略无尽的精彩,1,1.5
1162820023,闲云孤鹤001,m,104,14,False,,随心随性随缘,0,2.0
1165451275,镶嵌着大金条,m,1212,5116,False,,,0,1.0
1169756961,浅浅的1977,f,66,1176,False,,,0,1.0
