博主id,用户昵称,性别,粉丝数,关注数,是否大V,微博认证,个人简介,svip等级,score
1002288604,拳2022,f,58,132,False,,,1,1.0
1002389395,-Sunkcost--,f,401,677,False,,我在任何地方，唯独不在此处,1,1.0
1002680641,木子YUHAO,m,1197,1006,False,,,0,1.0
1002756631,番茄脆薯饼大王,f,1636,1005,True,超话粉丝大咖（易烊千玺超话）,好幸福，一起床就摸到老公硬硬的，原来是死了|镇魂丨学习强国,0,1.0
1003195284,拖延一级患者,f,80,682,False,,自由是灵魂的氧气 镇魂,8,1.0
1003983324,龙泉游侠,m,873,6999,False,,,0,1.0
1004184807,Natalialily,f,1456,1487,False,,祝我们熠熠生辉✨,0,1.0
1004235597,嬉愛夜訓L,f,195,4386,False,,我要训觉,1,1.0
1004734865,水晶鞋-玫瑰,f,56,342,False,,淡淡岁月，静静守……,0,1.0
1004871305,AloooOo_aL,f,112,614,False,,约束&amp;无忧无虑🥐🍞🍳🥘🍝🍜,1,1.0
1005043822,谁看不迷糊,f,199,126,False,,永远的花样年华 You’re my treasure,3,1.0
1005126440,用户jsazrlrsrv,m,102,1776,0,,,0,1.0
1005414005,是何富贵,f,383,1071,False,,时常撒娇，适当服软，合理装傻，永远清醒。 ​,0,3.0
1005490240,维他命水vita,f,165,613,False,,惟愿时光清浅，将你温柔以待,1,1.0
1005621237,会打喷嚏的狗,m,335,439,False,,,0,1.0
1005649687,夏天的夏天和夏天,f,377,988,False,,夏天的夏天和夏天,0,1.0
1006273650,受害者都去青岛报案,m,214,715,False,,青岛市城阳区麦田商旅与优享一步网约车平台诈骗，2022年2月有报警投诉市长热线，当地政府包庇纵容犯罪企业继续运营，麦田股东说拿出一个亿来利益输送,0,1.0
1007835925,露月初柒_咕噜,f,636,382,1,超话粉丝钻咖（龚俊超话）,日常➕追星【个人生活号】 （gay,1,1.0
1008331400,东方心意若心,m,7299,5047,False,,我心如我，我如我心，因为经历，所以懂得，因为懂得，所以珍惜……喜欢，需要，适合，清心寡欲。,1,1.0
1008433247,鲸鱼宝宝的小叶子,m,45,822,False,,,0,1.0
1009054445,夜里咩,f,158,657,False,,不胜酒力,0,1.5
1009567131,优雅莉莉莉lily,f,258,429,False,,人生不如意事十之八九,1,1.0
1009737953,我是你敏爷啊,f,1490,426,False,,每个人都应该写好遗书，因为我们都会死,6,1.0
1010472685,凹凸还是凸凹,m,251,5118,False,,老挨踢,1,1.0
1010583435,Joseph咕咕咕,m,34,65,False,,都灵体育报它爷爷,0,1.0
1012932933,Shawnodell,f,26,428,0,,,0,1.0
1013874747,流川枫在此L_Drop,f,778,246,False,,2025，新年新希望，越来越好！❤️,0,1.0
1014049334,燕燕子噜,f,18,251,False,,,1,1.0
1014355032,无盐YY,f,493,173,False,,,0,1.0
1014650354,老猫的爸爸000711,m,521,465,False,,外企工作18年,7,1.0
1015046530,屁屁柒宝酱,f,313,2112,False,,平,0,3.0
1016206351,潘医生o呵护心身同样重要o,f,103605,285,True,,医学博士，副教授，硕士研究生导师，二十余年精神科临床经验，擅长双相障碍、抑郁症、焦虑症的诊疗，对酒精所致精神行为异常有经验。,1,1.0
1016510944,AAA绿茶特卖专员,f,50,123,0,,镇魂 微博是用来发疯的 谁都骂 心情不好路边的狗我都要骂两句 在发疯 天天发疯,1,1.0
1016902044,黄少敏广州,m,1,44,False,,,0,1.0
1017166115,墨不可言却可书,f,175,1344,False,,平安喜乐,0,1.0
1018508322,漓佑15,m,117,504.0,False,,快乐至上，健康也行,1,1.0
1018664424,猫饼吃吗,f,40,99,False,,倒计时 ？-5,0,1.0
1019821323,轻轻小舟1,f,353,527,False,,,1,1.0
1021525633,安好433,m,110,172,False,,倾我一生一世念,0,1.0
1023047823,wjdong81,m,468,2635,False,,,0,1.0
1023069935,不准太郎,m,150,260,False,,,0,1.0
1023098942,Flora袁榕岭,f,57,199,False,,,0,1.0
1026274271,笑笑kaopu香港站,m,674,134,0,,百年港代老店，还差91年。需要代购请加微信xiaoxiaokaopu哦！,0,1.0
1027419700,知君思无邪,f,26,1181,False,,,0,1.0
1027947832,飞飞安VX,f,3025,5440,False,,免责条款：本人观点与所在机构及客户无关。,0,1.0
1028478792,Jane_Lemonade,f,364,1071,False,,🌈日更50条 狠爱嗑cp⚠️很吵眼睛so慎关  Always be proud of yourself✨,0,1.0
1031080214,好运又来V6,m,174,1185,False,,时光不老，我们不散，,0,1.0
1032997052,用户qlon5zyhwv,m,462,65,False,,86年,0,1.0
1034102373,陈皮半夏散,m,3,145,False,,浅喜似苍狗，深爱如长风。,0,1.0
1034761872,蒂耶纳,f,553,335,False,,,0,1.0
1037105160,魔力的真髓,m,59.1万,307,True,新锐作家真髓，作品有《三国真髓传》“灵吸怪系列”《悍匪》等,本号自娱自乐用，所以：不接广告，卖粉求互粉互推广的勿扰，未关注人私信不到想起来清理的时候不看，你我都省点儿力气，谢谢。,1,2.0
1038268215,好好学习天天建新,m,1030,522,0,,愚公移山 天生我材必有用,1,1.0
1038472642,lily要炒股,f,4,29,0,,,0,1.0
1038512875,正返馈,m,396,1737,False,,,0,1.0
1040457620,Deseoquetodomarchebien,m,123,896.0,False,,镇魂   想过无意义的快乐一生,1,3.0
1040543442,我和旎同1106,f,170,201,False,,🎐人生简简单单就好 🎐生命健健康康就好 🎐生活快快乐乐就好,0,1.0
1040656341,an寻找小白,f,104,38,False,,饿了就吃，渴了就喝，累了就停，烦了就走。­活的挺好,0,1.0
1040848625,夜雨微澜风,m,264,1719,False,,,0,1.0
1041442465,玉尘-,f,1676,204,False,,在这薄情的世界多情地活着 456123456,0,1.0
1042661563,鶴唳九霄_,m,733,198,False,,做只快乐的小土狗。,0,1.0
1043352293,不太爱码字的小不点圆圆,f,1438,220,False,,爱看书，爱码字，爱偷懒，爱逛街旅游的伪宅女吃货一枚。,0,1.0
1043730453,haiyingaini,f,260,610,0,,,0,1.0
1043936463,奶宝2015,m,49,37,False,,,1,1.0
1044422987,一把锋利的大剪刀,f,509,598,False,,点染亖护赧鴇亖骟泥跌骟泥跌,0,2.0
1044554934,Liketoastt,f,1131,607,False,,人生是一场大冒险,0,1.0
1044624763,55_小五,f,311,713,False,,,0,1.0
1045321225,不知道取什么名好ooo,f,5,137,False,,祝你天天开心,0,1.0
1045931974,-浪漫遍野-,f,218,84,False,,注意身体,0,1.0
1046174290,闪闪发光猪猪,f,689,4719,False,,ALL GOOD LIES BEFORE ME!,0,1.0
1047736474,红糖怪兽,f,419,524,False,,Pick me. Choose me. Love me.,0,1.0
1047805975,画小眉,f,12.6万,671,1,读物博主,爱看书刷剧,0,1.5
1051125265,笙儿56,f,154,1056,False,,看得见风景的房间，吃不到的敖光,5,2.0
1051312091,蜜罐边的小熊猫,m,470,654,False,,万事顺意,5,1.5
1051858273,聂振亚_中基层管理培训师,m,7417,2442,True,职业培训师，高级人力资源管理师 聂振亚,"管理培训师咨询顾问师。20年世界500强及上市公司中高层历练，主讲中基层管理、企业内训师训练、党建、HR系列课程 13924598793,QQ:2972183810",0,1.0
1052360922,薇泪泪同学,f,3783,1552,False,,嗯？,0,1.0
1052562453,沈泠泠rin,f,575,543,False,,诗人/三坑少女/蓬松的少女/骗子滚出我微博/abo爱好者,0,1.0
1052740652,炎阳火成,m,164,599,False,,,0,1.0
1053015781,小奶糕爱小未来,f,116,52,False,,内心填不满的小孩,0,1.0
1056503527,狸猫美哪吒,m,359,360,False,,养橘工作者。,0,1.0
1056994631,追随青春的梦_致漠漠,f,335,1440,False,,,0,1.0
1057372553,打中我的辛巴,f,375,1641,0,,文件传输助手。,0,1.0
1057595921,_不梦君,f,62,403,False,,おとといは兎を見たの。昨日は鹿、今日は…あなた,0,1.0
1061127695,馨二爷,f,1972,2212.0,False,,Love is the truth,1,3.0
1062436860,看度视频,f,586,55,False,,做人有尺，做事有度！,0,1.0
1063347194,小小小小小春卷,f,158,193,False,,Love is completed by incomplete things.,0,1.0
1064431994,蓝色綪人节,m,206,415,False,,,0,1.0
1064910255,小白兔的地儿,f,906,1789,False,,心肝宝贝儿,0,2.0
1065181125,下泉野,m,226,1156,False,,,0,1.0
1065381045,用户2t52be233a,f,100,920,0,,,0,1.0
1065647374,塘沽祥记,m,713,2679,False,,因为专一所以专业（零售批发寿衣）手机13920564399一分利吃饱饭 是我的经营原则,0,1.0
1066197297,心理学刘爱民,m,390.1万,4490,1,微博2019最具影响力心理大V 爱问医生推荐咨询专家 心理博主,心亦诚心理-----给你一把打开心灵的钥匙，让你的心灵充满阳光！,0,1.0
1066341005,小羊小狗小猫小乌龟,f,319,1028,False,,,0,1.0
1066592704,零骸_李奶奶保护组,m,88,258,False,,我是零骸 不是僵尸号不是僵尸号不是僵尸号 之前的号炸了,0,1.0
1066808794,嘻哈_哈嘻,m,774,562,False,,,0,1.0
1067623097,飞之鹰,m,433,52,False,,,0,1.0
1067651444,只想过平静生活的王小典,f,389,310,False,,靠谱小青年儿~~~~不靠谱的靠边站！！！,2,1.0
1067843321,用户bjgkwyl3jx,f,0,572,False,,,0,1.0
1068036370,写个作业要急死我呀,f,47,904,False,,,0,1.0
1068755060,不停掉毛毛毛毛毛,m,305,696,False,,"猎人连载完结日 家祭无忘告乃翁 | See my purse, i'm a poor, poor man",0,1.0
1068853980,君书生,f,161,370,False,,布洛芬精,0,1.0
1069381660,SR-Yoan,m,759,2625,False,,没活明白,0,3.0
1069475927,-七溟-,f,1512,493,False,,本人精兔。讨厌一切精韩精日精欧美跪舔国外的汉奸走狗。,6,1.0
1069800747,玉面little蛟龙,f,216,376,0,,来吧我们一起出发�,1,1.0
1071124897,大柚子酱酱花,f,3011,2850,False,,竟已变成鸢权逊、权逊bot，并夹杂着少量仙剑|最原|陆逊|淮上｜头像是作精娇娃明德子~,0,1.0
1071188201,一直很安静的news,m,876,1364.0,False,,你是我温暖的手套，冰冷的啤酒，带着阳光味道的衬衫，日复一日的梦想。,7,3.0
1071251652,第8号当铺的,f,2573,1570,False,,人生有时可以平淡，有时也需要一些风浪；人生如果太安逸了就会被生活所累。大海只有碰到礁石，才会激起美丽的浪花，人生就是如此……,0,1.0
1072433675,君山十里花,f,275,138,False,,开心做人,0,1.0
1074336020,QK19821982,m,302,433,False,,,1,1.0
1074442060,可可心诶i,f,149,1646,False,,做好自己,2,1.0
1074499521,天然茜,f,1719,512,False,,吃饭(๑´ڡ`๑)睡觉 (๑´ᴗ`๑) 飞航班=͟͟͞͞( •̀д•́)))小时费(ू•ᴗ•ू❁),0,1.0
1075460234,绛紫微光,f,198,792,0,,ACG/手帐/钢笔/文具爱好者。喜新恋旧。,0,1.0
1075507564,噗噗PUDDING,f,282,1503.0,False,,尽人事，听天命。,7,2.0
1078315313,蕾拉小姐的兔子,f,121,1563.0,False,,说话前，先思考三秒,7,2.0
1079024510,叮玲玲699,m,18,74,False,,,0,1.0
1079637952,安徽wcz650113,m,618,4834,False,,,0,1.0
1080427065,手机用户1080427065,m,221,5257,False,,,0,1.0
1080552231,写代码全靠编的星星,m,1050,310,0,,Good-bye My Loneliness,0,1.0
1080568242,-风吹懒羊羊-,f,3389,246,1,娱乐博主 微博剪辑视频博主,努力为i做e,0,1.0
1080919271,提壶生,m,147,213,False,,再次声明，我在网络上一切博文中所指日本鬼子或者境外不明势力及其走狗，或者美帝国主义等…并不是指所有的日本或美国人民或者哪里的人民！严格区分！,0,1.0
1081020427,o上官飞云o,m,737,3441,True,,时间就是下班杀猪刀,0,1.0
1082301082,mimi的春天2011,f,161,1525,False,,,0,1.0
1084047682,qxl767,f,794,1068,False,,,1,1.0
