Rank,博主id,用户昵称,性别,粉丝数,关注数,是否大V,微博认证,个人简介,svip等级,score
1,6164052686,猫喜庆的小本本,f,1605931,2673,True,,外表慈祥内心抓狂的老母亲,1,2464
2,6276227682,liu_iiiiiirich,f,46.5万,242,True,搞笑幽默博主 超话主持人（分享欲爆棚的进超话）,欢迎来到我的QQ空间～ 想投稿的宝子们 直接投稿给我就行！ 部分投稿内容源于网络｜（侵歉删！）,3,2101
3,6365990425,大河财立方,m,403万,559,True,大河财立方官方微博,河南日报社智慧财经全媒体平台,1,2000
4,1774057271,生命时报,f,871万,331.0,True,《生命时报》社有限公司官方微博,人民日报主管，环球时报主办，一家具有国际视野的大众健康媒体。更多精彩关注微信“LT0385”。,2,909
5,3910809787,我深爱的68号少年,f,191,65,False,,在养猪,0,908
6,1314608344,新闻晨报,m,4059万,1624,True,《新闻晨报》官方微博,帮办热线：13524337940；商务合作： (021) 22895371（工作日9-17时），QQ 2549671421，微信 dodo171717；邮箱：service@zhoudao.com,3,907
7,1655444627,潇湘晨报,f,1755.2万,1624,True,《潇湘晨报》官方微博,简介：“影响湖南，湖南影响”，创刊于2001年，现为湖南发行量最多、影响力最大的纸媒。,3,906
8,1463503853,爱玩的喵喵小沫,f,1116600,1353,True,,哆啦A梦回到了未来，大雄要等他到80岁 我不要他的口袋，要和哆啦A梦做朋友，请他吃铜锣烧  小🍠 ：～大蛾🦋  (●'◡'●)私信注明来意  Base：杭州,1,762
9,1699432410,新华社,m,1.12亿,3161,True,新华社法人微博,新华社官方微博，重大新闻权威首发平台。,3,544
10,6651577358,今天看比赛了么,f,174534,1598,True,,私信可投稿～推广/冲榜合作私信  视频来源于网络有侵权请私,1,423
11,1223812162,反射弧超长星人影九,m,535453,587,True,,（小号@影九影九 ）SB和2B的简单相加= = 发脾气需要长时间CD和读条星人。 （不教骂人谢谢。给学费也不教(｡•ˇ‸ˇ•｡),1,321
12,6986794157,看完大球看小球,m,139345,1972,True,,什么都发，什么比赛都看，视频源自互联网转载，侵删,1,260
13,7227825708,摸鱼办公室,m,805.4万,210,True,搞笑幽默博主 超话粉丝大咖（摸鱼办公室超话） 微博原创视频博主,商务合作请加vx：ZGMJ_666,2,259
14,1706596590,Hai科技,m,601030,2614,True,,科技很Hai，关注Hai科技,1,244
15,1700832492,晓看世间夜赏梅,f,75355,177,True,体育博主 头条文章作者,不限圈瑞萍✍️娱乐影视🍉梅西⚽️❤️雷大众雷点，雷阿伟罗一切❗️乐见女孩昂扬，但iqjf无豁免权。以上。,0,214
16,5609184218,羊就是咩咩叫,f,82.2万,1594,True,娱乐博主,管好你自己❤️,3,209
17,5284320379,不想做梦噢,f,169,185,False,,不想骂人,0,200
18,1885454921,蓝鲸新闻,f,526.1万,2640,True,蓝鲸新闻官方微博,影响有影响力的人,2,197
19,6038922387,乔凯文,m,213万,1625,True,互联网科技博主,原ID@黑客凯文,2,190
20,7787554663,哎一古朝流,m,2.4万,983,True,动漫博主 超话创作官（动漫超话） 微博原创视频博主,,1,187
21,5851027596,是汪汪呢,f,217万,1084,True,数码博主 微博原创视频博主,,1,186
22,2107493602,楚斌top,m,3775102,2347,True,,喜欢女粉，喜欢汽车,1,179
23,7331622139,小怡说车,f,643958,461,True,,商务合作请私信,1,171
24,2792519675,后厂村长看大厂,m,371828,1345,True,,身处职场，总得了解点大厂动态。wx：okokok-74,1,167
25,5032932021,1X1X,m,177.4万,0,True,娱乐博主,想发啥就发啥,3,167
26,7755867260,财唯唯,f,39874,2666,True,,人群:低头族、久坐、不爱运动。爱好:喜欢吃各种各样的美食，架不住美食的诱惑。 曾经:五瘦六胖，一年半从175✂️到95，维持四年。目标:只瘦小肚子,1,161
27,1403078180,南风在北京,m,307240,2409,True,,中国男人，请更自信一点！,1,156
28,3141296113,Do医生,m,508.3万,285,True,2024最具影响力健康医疗大V 2023微博年度新知博主 健康博主,记录自己生活，分享个人思考；所有言论，仅代表个人观点。,2,151
29,1411163204,健康时报,f,593.8万,929.0,True,健康时报官方微博,微健康，随时随地不随意！人民日报社主管主办，中国百强报刊，更多精彩还可关注健康时报微信“JKSB2013”。,2,135
30,6569466125,CCS滋滋,f,2.6万,2683.0,True,娱乐博主 微博原创视频博主,图片视频源于网络 侵删,2,133
31,7670162388,宇宙中孤独且稀有的小星星,f,159925,3199,True,,做自己的光,1,132
32,7002084904,IKliyyy,m,55.5万,27,True,情感博主,上网来熬夜,2,121
33,6337273840,辞念with,f,103244,1949,True,,这里江辞 商务：JcForWorking,1,117
34,6084405732,咩有失棉,m,152835,1355,True,微博原创视频博主,？,0,114
35,2022252207,小白测评,m,399.3万,2184,True,小白测评工作室创始人 数码博主 微博VLOG博主 微博原创视频博主,不客观 真体验 一个工具性的科技数码频道,3,106
36,6444081045,氛围感研究员,f,13.3万,81,False,,开心的事要专心记起📝,6,101
37,6494750481,酸梨种草机,f,21.3万,97,False,,我发现的东西都好用,7,100
38,6641267980,全都值得马,f,13.1万,118,False,,,7,100
39,6659216388,爱买的小丸仔,f,42.7万,129,False,,不知名时尚博主,6,100
40,7766395630,香菜卷加工坊_gxt,f,18090,113,True,,关晓彤个人站——专注@关晓彤 相关数据，不管如何，会永远爱@关晓彤❤️,1,98
41,7753225060,慢慢自愈我,f,147046,2085,True,,晚安 天天开心  ·͜·,1,95
42,6444551595,阿楠搞笑日常,m,200939,13817,True,,分享搞笑幽默段子及趣味表情包和头像，带来快乐！部分来源网络.侵删 商务推广请私信 可投稿,1,94
43,7769326398,依山尽雨,f,185941,21,True,,我乱七八糟的生活,1,94
44,2599051311,喵喵困了-,f,10.3万,56,True,微博原创视频博主,来往不逢人 善恶都是我,2,93
45,6286643655,差评小菌,f,74.6万,131,True,美妆博主,我的奇妙生活,6,89
46,1762923331,蒲蒲super,f,2517872,1073,True,,畅销书《儿童长高补脑营养食谱》作者， 一个接地气的专家妈妈 合作➕vx：pupu0618,1,87
47,2844644700,若是微微笑,f,10589,2351,True,,昵称过于强大无法显示,1,87
48,7843070496,晚风挽余生,m,44948,3198,True,电视剧博主 微博剪辑视频博主,图片和视频源自网络侵删晚风啊 ～ 撩拨着情人心上的弦。,0,87
49,7433207980,张三同学,m,178.2万,176,True,法律博主,合作 私信,2,83
50,6587005047,孙浣妮,f,12.3万,193,True,萌宠博主,,1,83
51,7478974298,羊了个卷-见过杨洋32次版,f,1.7万,612,True,娱乐博主,素质不详，稠人婉拒 请勿对号入座 公司今天倒闭了吗,2,82
52,6458642686,井井有条大魚,f,20.7万,159,True,时尚博主,欢迎来到快乐基地✨喜欢挖掘各种好物 🔍研究变美干货 🧏🏻‍♀️肉脸是天生的不是胖！,6,81
