Rank,博主id,用户昵称,性别,粉丝数,关注数,是否大V,微博认证,个人简介,svip等级,score
1,6365990425,大河财立方,m,403万,559,True,大河财立方官方微博,河南日报社智慧财经全媒体平台,1,8463
2,3306212485,王浣熊的生活日记,f,23.4万,41,True,微博vlog博主,一个分享生活/养生/中西医知识/爱与美的快乐土味大杂烩微博小号。,2,7573
3,6276227682,liu_iiiiiirich,f,46.5万,242,True,搞笑幽默博主 超话主持人（分享欲爆棚的进超话）,欢迎来到我的QQ空间～ 想投稿的宝子们 直接投稿给我就行！ 部分投稿内容源于网络｜（侵歉删！）,3,3121
4,6164052686,猫喜庆的小本本,f,1605931,2673,True,,外表慈祥内心抓狂的老母亲,1,2518
5,7227825708,摸鱼办公室,m,805.4万,210,True,搞笑幽默博主 超话粉丝大咖（摸鱼办公室超话） 微博原创视频博主,商务合作请加vx：ZGMJ_666,2,1681
6,1706596590,Hai科技,m,601030,2614,True,,科技很Hai，关注Hai科技,1,1473
7,1314608344,新闻晨报,m,4059万,1624,True,《新闻晨报》官方微博,帮办热线：13524337940；商务合作： (021) 22895371（工作日9-17时），QQ 2549671421，微信 dodo171717；邮箱：service@zhoudao.com,3,1242
8,1223812162,反射弧超长星人影九,m,535453,587,True,,（小号@影九影九 ）SB和2B的简单相加= = 发脾气需要长时间CD和读条星人。 （不教骂人谢谢。给学费也不教(｡•ˇ‸ˇ•｡),1,977
9,1774057271,生命时报,f,871万,331.0,True,《生命时报》社有限公司官方微博,人民日报主管，环球时报主办，一家具有国际视野的大众健康媒体。更多精彩关注微信“LT0385”。,2,821
10,1655444627,潇湘晨报,f,1755.2万,1624,True,《潇湘晨报》官方微博,简介：“影响湖南，湖南影响”，创刊于2001年，现为湖南发行量最多、影响力最大的纸媒。,3,739
11,1699432410,新华社,m,1.12亿,3161,True,新华社法人微博,新华社官方微博，重大新闻权威首发平台。,3,601
12,1762923331,蒲蒲super,f,2517872,1073,True,,畅销书《儿童长高补脑营养食谱》作者， 一个接地气的专家妈妈 合作➕vx：pupu0618,1,540
13,6038922387,乔凯文,m,213万,1625,True,互联网科技博主,原ID@黑客凯文,2,489
14,6651577358,今天看比赛了么,f,174534,1598,True,,私信可投稿～推广/冲榜合作私信  视频来源于网络有侵权请私,1,420
15,2599051311,喵喵困了-,f,10.3万,56,True,微博原创视频博主,来往不逢人 善恶都是我,2,406
16,1463503853,爱玩的喵喵小沫,f,1116600,1353,True,,哆啦A梦回到了未来，大雄要等他到80岁 我不要他的口袋，要和哆啦A梦做朋友，请他吃铜锣烧  小🍠 ：～大蛾🦋  (●'◡'●)私信注明来意  Base：杭州,1,400
17,3141296113,Do医生,m,508.3万,285,True,2024最具影响力健康医疗大V 2023微博年度新知博主 健康博主,记录自己生活，分享个人思考；所有言论，仅代表个人观点。,2,365
18,2792519675,后厂村长看大厂,m,371828,1345,True,,身处职场，总得了解点大厂动态。wx：okokok-74,1,342
19,1700832492,晓看世间夜赏梅,f,75355,177,True,体育博主 头条文章作者,不限圈瑞萍✍️娱乐影视🍉梅西⚽️❤️雷大众雷点，雷阿伟罗一切❗️乐见女孩昂扬，但iqjf无豁免权。以上。,0,231
20,5284320379,不想做梦噢,f,169,185,False,,不想骂人,0,224
21,5609184218,羊就是咩咩叫,f,82.2万,1594,True,娱乐博主,管好你自己❤️,3,223
22,3910809787,我深爱的68号少年,f,191,65,False,,在养猪,0,209
23,6168519077,榴莲吃不饱饱,f,33.9万,41,True,美食博主,买买买小能手，梦想是开一家啥都有卖的小卖部,7,209
24,1933903170,花糕员外,f,397884,947,True,,饮食•风俗•掌故,1,202
25,7558234208,可爱多赵蜀黍,m,336659,666,True,,跨越山海，终见曙光,1,138
26,2858270197,七百里加急递煎饼,m,254.6万,436,True,娱乐博主,国家一级东拉西扯种子选手,3,120
27,2048978227,碎碎九十三,f,195069,269,True,,,1,118
28,1819746910,弘叔uncleHong,m,2056586,1737,True,,,0,118
29,6569466125,CCS滋滋,f,2.6万,2683.0,True,娱乐博主 微博原创视频博主,图片视频源于网络 侵删,2,116
30,1411163204,健康时报,f,593.8万,929.0,True,健康时报官方微博,微健康，随时随地不随意！人民日报社主管主办，中国百强报刊，更多精彩还可关注健康时报微信“JKSB2013”。,2,105
31,7002084904,IKliyyy,m,55.5万,27,True,情感博主,上网来熬夜,2,100
32,1887312183,种斌Marco,m,745610,988,True,,一个浪迹在互联网圈子的散装文化人,1,92
33,2286092114,中国蓝新闻,m,741.9万,5946,True,浙江广电集团融媒体新闻中心中国蓝新闻官方微博,和你一起 与时代同频,3,92
34,1885454921,蓝鲸新闻,f,526.1万,2640,True,蓝鲸新闻官方微博,影响有影响力的人,2,91
35,6587005047,孙浣妮,f,12.3万,193,True,萌宠博主,,1,88
36,2275284204,少年伯爵,m,1074840,882,True,,In the noisy confusion of life keep peace with your soul.,1,88
37,7354263795,00开飞机,f,5.5万,363,True,coser 00开飞机 动漫博主,每天能发一万条,1,85
38,7516679696,九派新闻,m,442.6万,227,True,九派新闻官方微博,如果您有线索，请联系：jpbl@jp.jiupainews.com ，商务合作，请联系电话：18694040076,4,80
39,6286643655,差评小菌,f,74.6万,131,True,美妆博主,我的奇妙生活,6,78
40,2661992301,买家张俊,m,164.2万,1348,True,互联网科技博主 微博VLOG博主 微博原创视频博主 头条文章作者,科技、互联网、数码、汽车行业动态及热点分析，商务合作请私信,2,77
41,2844644700,若是微微笑,f,10589,2351,True,,昵称过于强大无法显示,1,76
42,3971363732,OnePlus-已看过两场时代之旅,f,1653,1339,True,,你怎么知道我要看两场时代之旅了呀？,0,76
43,1867099473,张洲,m,238.4万,1840,True,互联网科技博主,来来来，最温柔的博主来了,2,75
44,3991770291,潘明先生,m,3826924,969,True,,言论仅为个人观点，与供职单位无关。,1,74
45,5849859085,耗子头主任,f,42530,8,True,,撰写女人自己的史诗。‖ 周末不上线,1,70
46,7052975440,码了个马,f,32万,134,False,,,6,68
47,6458642686,井井有条大魚,f,20.7万,159,True,时尚博主,欢迎来到快乐基地✨喜欢挖掘各种好物 🔍研究变美干货 🧏🏻‍♀️肉脸是天生的不是胖！,6,67
48,5132656758,江湖李傅相,m,62.9万,4,True,微博原创视频博主 情感博主,+V：lifuxiang8335,2,66
49,7264493800,MK-久遇,m,117804,1722,True,,视频源网络 侵删 合作请私信 可投稿,1,66
50,6776097800,一个小小屁,f,17.2万,154,True,美妆博主,一个天天熬夜秃头种草博,7,66
51,7567651111,石海不吃猪食,f,1.6万,3607,True,微博剪辑视频博主 娱乐博主,@陈星旭--CHEN先生 至上 肖稚宇铁粉,1,64
52,5291824241,橘子娱乐,f,9582039,1913,True,,传播娱乐正能量！（所有独家和现场拍摄内容禁止截掉水印)广告合作邮箱：ad@happyjuzi.com,1,63
53,7799806116,大橘喵喵喵大栗,f,54499,3797,True,娱乐博主,反弹反弹反弹，攻击无效，且一亿倍反弹到你全家,0,61
54,7843070496,晚风挽余生,m,44948,3198,True,电视剧博主 微博剪辑视频博主,图片和视频源自网络侵删晚风啊 ～ 撩拨着情人心上的弦。,0,59
55,6494750481,酸梨种草机,f,21.3万,97,False,,我发现的东西都好用,7,56
56,6033073678,你是唯一的姐妹儿,f,9.7万,3102,True,电视剧博主 微博原创视频博主,商务推广请私信,2,55
57,7809335092,JaniceMan吻奶珊,f,205300,11674,True,,💛 人间理想李宁玉，人间妄想文咏珊 💜 2025最大心愿：老贵和妈宝男分手分手分手！！专心搞事业！,1,52
58,2107493602,楚斌top,m,3775102,2347,True,,喜欢女粉，喜欢汽车,1,51
59,2032139271,央证公开课,m,3700.7万,547,True,央证公开课官方微博,商务合作VX：yzgkk02,2,51
60,3514817904,绵卷卷,f,347168,582,True,,你的电子闺蜜💖👭🏻 // 🍠：卷崽好甜//    🛰️可以来找我聊天：mianjuanjuan,1,48
61,6337273840,辞念with,f,103244,1949,True,,这里江辞 商务：JcForWorking,1,44
62,7769326398,依山尽雨,f,185941,21,True,,我乱七八糟的生活,1,43
63,2022252207,小白测评,m,399.3万,2184,True,小白测评工作室创始人 数码博主 微博VLOG博主 微博原创视频博主,不客观 真体验 一个工具性的科技数码频道,3,43
64,6444551595,阿楠搞笑日常,m,200939,13817,True,,分享搞笑幽默段子及趣味表情包和头像，带来快乐！部分来源网络.侵删 商务推广请私信 可投稿,1,43
65,7868576207,奈芙er,f,529235,102,True,,励志当个有趣的super woman！ 商务合作+🛰fifiyo_7（需标注来意💕）,1,42
66,6239219507,番茄炖了西红柿啦,f,12.8万,2657.0,True,美食博主 超话粉丝钻咖（美食超话）,内容来源网络，侵删,2,41
67,7766395630,香菜卷加工坊_gxt,f,18090,113,True,,关晓彤个人站——专注@关晓彤 相关数据，不管如何，会永远爱@关晓彤❤️,1,39
68,5032932021,1X1X,m,177.4万,0,True,娱乐博主,想发啥就发啥,3,38
69,6084405732,咩有失棉,m,152835,1355,True,微博原创视频博主,？,0,37
70,1725876907,张逸轩同学,m,2053269,516,True,,2022、2023、2024年最具影响力财经大V/最具基金人气大V；不知名情感博主，不会主动联系任何人；谨防受骗！！投稿可直接私信…,1,36
71,5782572166,0o发福奥利奥0o,f,5380,385,True,娱乐博主,,1,35
72,2458743132,慕容沁钰,m,34.5万,8061.0,True,科学科普博主 超话主持人（慕容de番杏家园超话） 微博原创视频博主,一个爱国、爱动物、爱园艺、爱生活的博主,2,35
73,6641267980,全都值得马,f,13.1万,118,False,,,7,35
74,6659216388,爱买的小丸仔,f,42.7万,129,False,,不知名时尚博主,6,33
75,7813494008,小李Skylla,f,1.3万,1410,False,,大眼塞僵尸粉很严重，所以我时不时开一键防护。喜欢ff14拍照、画画、看书。会在微博记录生活/读书观影。,5,32
76,2431328567,微博热点,f,314.2万,2444,True,微博内容中心官方微博,微博内容中心官方微博,7,32
77,1682207150,南方日报,m,1671.6万,259.0,True,南方日报官方微博,华南主流政经大报，秉承“高度决定影响力”的办报理念；旗下南方+客户端是广东传播主平台、湾区第一端。,2,32
78,1301904252,江苏新闻,m,511.1万,1535,True,江苏广电总台融媒体新闻中心,江苏广电总台融媒体新闻中心、江苏公共·新闻频道，旗下《江苏新时空》《新闻眼》《新闻360》《通天下》《评新而论》《早安江苏》《网罗天下》等栏目,1,31
79,1893892941,北京日报,m,11019157,1814,True,,爱北京，知北京；报道北京，服务读者。,1,30
80,3485610240,瘦司七格格,f,990,245,False,,更好的成为自己。,1,29
81,6249379680,礼哥,f,146.9万,751,True,游戏博主 微博原创视频博主,想知道游戏新资讯，跟着礼哥走,2,28
82,3511775724,礼哥说科技,m,10.6万,197,True,互联网科技博主,关注科技、互联网、数码、汽车行业,1,27
83,7773204980,饱饱还没吃饱,f,61562,5513,True,,勇敢的人先享受世界,1,26
84,1870299693,毛发浓密大赛冠军,f,142061,789,True,,话像头发一样多。,1,25
85,2172631523,江雨萌,f,1264507,1941,True,,时尚美妆博主，独立撰稿人。合作请私信联系！,1,25
86,3279710155,斯图卡98,m,5861538,1956,True,互联网科技博主 视频博主,社会，资讯，历史,0,24
87,6059492811,拆台CT,m,74.4万,4287,True,互联网科技博主 微博原创视频博主 头条文章作者,合作请+yilantfy，记得注明来意。,2,24
88,7548920421,momo粒_,f,1407876,209,True,,momo也想玩手机 搞笑女勇闯机圈,1,23
89,5388069019,爱健身的硬哥,m,152367,485,True,,爱健身，爱美食，爱旅行，爱交友。。专业健身教练，拿了几个健美冠军，有点小成绩！,1,22
90,2318910945,新浪热点,m,7893.1万,1113,True,新浪热点官方微博,,2,21
91,5821975991,生活小智慧,m,23.5万,72,True,微博剪辑视频博主,原ID这个咩毛病，创造美好生活的无限可能，让你轻松成为生活达人。分享生活智慧，商务合作QQ：800023204,6,21
92,5148153495,保罗车闻Cars01,m,439.5万,369,True,汽车资讯博主,Cars01 豪华车平台🏎 专注豪华车品牌，性能车型，Hypercar，超跑Supercar，相关改装产品及活动！,2,20
93,1149956613,张慧林,m,2604084,5647,True,,南京市纪委廉政观察员  江苏省科普志愿者  微博自媒体作者,1,20
94,2268685365,曹勇琦,m,306.4万,918,True,互联网科技博主 微博原创视频博主 超话主持人（微博热门超话）,以铜为镜，可正衣冠；以古为镜，可知兴替；以人为镜，可明得失。,2,20
95,5851027596,是汪汪呢,f,217万,1084,True,数码博主 微博原创视频博主,,1,20
96,1365841235,独善一行,m,160.7万,269,True,青年作家 心理咨询师  微博新知博主 教育博主 微博原创视频博主,不矫情偶尔煽情的理性派知书少年。,2,19
97,5290777427,戏精庆帝,m,14.7万,436,True,电视剧博主,看走势博主，偶尔客串🍉主，果农～,2,19
98,6444081045,氛围感研究员,f,13.3万,81,False,,开心的事要专心记起📝,6,18
99,1741538517,想冬眠的十万,f,19720,1810,False,,,0,17
100,5261353236,白小告呢,f,86,179,False,,,0,17
101,2140296057,ABC官方微博,f,831896,106,True,,更多ABC详情，欢迎登陆ABC个人护理官方网站：www.abc-love.com,0,16
102,6816075606,杨瀚微博,m,7.3万,689,True,退役军人、中国小动物保护协会 志愿者 军事博主 微博原创视频博主,人多的时候别看我小店哦，相当炸裂,2,16
103,2375086267,参考消息,m,2452万,187,True,参考消息报社官方微博,《参考消息》由新华通讯社主办、参考消息报社编辑出版，创刊于1931年，是中国市场发行量最大的日报。,2,16
104,7010131150,帝吧官微,f,158.3万,975,True,超话主持人（帝吧超话）,海外帝吧官方微博,2,16
105,3170072514,撩汉机小魔女,m,56707,1780,True,,哪吒事业粉,1,16
106,5488211312,爱唱歌的小7,f,86.2万,8189,True,微博原创视频博主 微博VLOG博主 时尚博主 超话主持人（小鱼凌晨电台Vlog超话）,一个唱歌还不错的普通女孩，周杰伦的歌优先，想要听的歌置顶评论区，看到就会翻唱一下，dy：爱唱歌的小7  ，我是小7（推广合作私信）,2,16
107,3665229601,企鹅妹妹22,f,43,122,False,,我喜欢她，她喜欢一米八。,0,15
