Rank,博主id,用户昵称,性别,粉丝数,关注数,是否大V,微博认证,个人简介,svip等级,score
1,6164052686,猫喜庆的小本本,f,1605931,2673,True,,外表慈祥内心抓狂的老母亲,1,0.18565992158568476
2,3910809787,我深爱的68号少年,f,191,65,False,,在养猪,0,0.06053434072663301
3,1463503853,爱玩的喵喵小沫,f,1116600,1353,True,,哆啦A梦回到了未来，大雄要等他到80岁 我不要他的口袋，要和哆啦A梦做朋友，请他吃铜锣烧  小🍠 ：～大蛾🦋  (●'◡'●)私信注明来意  Base：杭州,1,0.0523732193328449
4,6651577358,今天看比赛了么,f,174534,1598,True,,私信可投稿～推广/冲榜合作私信  视频来源于网络有侵权请私,1,0.027753086216366466
5,6276227682,liu_iiiiiirich,f,46.5万,242,True,搞笑幽默博主 超话主持人（分享欲爆棚的进超话）,欢迎来到我的QQ空间～ 想投稿的宝子们 直接投稿给我就行！ 部分投稿内容源于网络｜（侵歉删！）,3,0.02164879094247196
6,6365990425,大河财立方,m,403万,559,True,大河财立方官方微博,河南日报社智慧财经全媒体平台,1,0.020924496072473143
7,1223812162,反射弧超长星人影九,m,535453,587,True,,（小号@影九影九 ）SB和2B的简单相加= = 发脾气需要长时间CD和读条星人。 （不教骂人谢谢。给学费也不教(｡•ˇ‸ˇ•｡),1,0.0207017473140782
8,1706596590,Hai科技,m,601030,2614,True,,科技很Hai，关注Hai科技,1,0.017229491003618015
9,5284320379,不想做梦噢,f,169,185,False,,不想骂人,0,0.015220399542893868
10,7331622139,小怡说车,f,643958,461,True,,商务合作请私信,1,0.014209719291832455
11,7755867260,财唯唯,f,39874,2666,True,,人群:低头族、久坐、不爱运动。爱好:喜欢吃各种各样的美食，架不住美食的诱惑。 曾经:五瘦六胖，一年半从175✂️到95，维持四年。目标:只瘦小肚子,1,0.013577960731046954
12,2107493602,楚斌top,m,3775102,2347,True,,喜欢女粉，喜欢汽车,1,0.012232071332839765
