Rank,博主id,用户昵称,性别,粉丝数,关注数,是否大V,微博认证,个人简介,svip等级,score
1,1655444627,潇湘晨报,f,1755.2万,1624,True,《潇湘晨报》官方微博,简介：“影响湖南，湖南影响”，创刊于2001年，现为湖南发行量最多、影响力最大的纸媒。,3,0.034033809777019704
2,5547393597,蕗過铥了奶瓶,f,2248,858,True,,abo🥰🥰陈星旭唯粉😘😘只互眼熟的宝子！,1,0.033261472292294286
3,6997556479,吻骨以誓,m,12567,1108,True,,Love is cosmic,1,0.028881702685791103
4,7839267823,绣球小兔比,m,17828,3584,True,,健康常在,1,0.027071489494229658
5,2458743132,慕容沁钰,m,34.5万,8061.0,True,科学科普博主 超话主持人（慕容de番杏家园超话） 微博原创视频博主,一个爱国、爱动物、爱园艺、爱生活的博主,2,0.020090027343656842
6,7475173387,好运壁纸头像,f,11.4万,4609,1,超话粉丝大咖（杨紫超话）,此号已换主人，花了5000块钱买的。如果原号主找回，我会立马报案，超过2000金额立案标准了。,0,0.018706655541852715
7,7486367270,小锅舒芙蕾,f,13208,2515,True,,不是gay,1,0.016232885283493773
8,3335273760,爱右爱,m,5.8万,7806,True,情感博主,你的灵魂伴侣。                                图片视频来源网络侵删。不谈政治/不论是非。,1,0.015953651236249616
9,1463503853,爱玩的喵喵小沫,f,1116600,1353,True,,哆啦A梦回到了未来，大雄要等他到80岁 我不要他的口袋，要和哆啦A梦做朋友，请他吃铜锣烧  小🍠 ：～大蛾🦋  (●'◡'●)私信注明来意  Base：杭州,1,0.014309446495660013
10,2792519675,后厂村长看大厂,m,371828,1345,True,,身处职场，总得了解点大厂动态。wx：okokok-74,1,0.0133107964218392
11,7264493800,MK-久遇,m,117804,1722,True,,视频源网络 侵删 合作请私信 可投稿,1,0.012102403150899865
12,7652377360,juice粥,f,98468,1913,True,,欢迎你来认识我。,1,0.01101424771970787
13,7631232687,今天我贼拉开心,f,1.8万,1577,True,超话粉丝钻咖（邓为超话） 微博剪辑视频博主,雨停雨落终有时,1,0.010543847781993593
14,1721284411,蜂鸟摄影君,f,1018958,1010,True,,数码、摄影博主 商务合作：fnvxfnvx,1,0.010135676629699568
15,6893440069,吃成大饼脸,f,20390,5443,True,,希望明天会有意想不到的惊喜！,1,0.010093825641312833
16,1725876907,张逸轩同学,m,2053269,516,True,,2022、2023、2024年最具影响力财经大V/最具基金人气大V；不知名情感博主，不会主动联系任何人；谨防受骗！！投稿可直接私信…,1,0.010072355445871333
17,2268685365,曹勇琦,m,306.4万,918,True,互联网科技博主 微博原创视频博主 超话主持人（微博热门超话）,以铜为镜，可正衣冠；以古为镜，可知兴替；以人为镜，可明得失。,2,0.00985986213043346
18,7331622139,小怡说车,f,643958,461,True,,商务合作请私信,1,0.00836640071729301
19,1893892941,北京日报,m,11019157,1814,True,,爱北京，知北京；报道北京，服务读者。,1,0.008159432513189702
20,5688853991,-海绵大王-,m,16597,2673,True,,爱没什么附加定义,1,0.007930598738980381
21,1907561417,KISSNEONLAMP1999,f,866,431.0,False,,人類的偏見限制了认知和眼界，思想成為了禁錮自我意識的枷鎖。,1,0.007627676648072207
22,5284320379,不想做梦噢,f,169,185,False,,不想骂人,0,0.006546078866323616
23,1887312183,种斌Marco,m,745610,988,True,,一个浪迹在互联网圈子的散装文化人,1,0.005876410751038065
24,7362895675,·养乐多大人·,m,30123,482,True,超话粉丝大咖（王一博超话）,他强任他强，清风拂山岗。,0,0.005220499426930986
25,7567651111,石海不吃猪食,f,1.6万,3607,True,微博剪辑视频博主 娱乐博主,@陈星旭--CHEN先生 至上 肖稚宇铁粉,1,0.004887122297976675
26,5086160970,扎西德勒·天珠文化,m,36.7万,2298,True,超话主持人（天珠超话）,著名收藏博主，热爱藏文化，传播藏文化。天珠、唐卡、文玩交流：zxdltz888、228019621,2,0.004674736349543322
27,5944114131,酩酊沉酣,f,3.7万,225,1,超话主持人（魔道祖师超话） 微博原创视频博主,蓝忘机&amp;魏无羡,1,0.004450388557662367
28,5609184218,羊就是咩咩叫,f,82.2万,1594,True,娱乐博主,管好你自己❤️,3,0.0043151800273494
29,7803966179,不要有下雨天,f,0,35,False,,,1,0.00415086791164108
30,1314608344,新闻晨报,m,4059万,1624,True,《新闻晨报》官方微博,帮办热线：13524337940；商务合作： (021) 22895371（工作日9-17时），QQ 2549671421，微信 dodo171717；邮箱：service@zhoudao.com,3,0.0041433256304497556
31,6021559157,小洋知事,m,34万,832,True,娱乐博主 微博原创视频博主,合作宣发私我！素材有的来源于网络，文章旨在倡导社会正能量！无低俗等不良引导！简介版权或者人物侵权问题，请及时联系我！,2,0.004043168591873429
32,1774057271,生命时报,f,871万,331.0,True,《生命时报》社有限公司官方微博,人民日报主管，环球时报主办，一家具有国际视野的大众健康媒体。更多精彩关注微信“LT0385”。,2,0.00402106183647215
33,6276227682,liu_iiiiiirich,f,46.5万,242,True,搞笑幽默博主 超话主持人（分享欲爆棚的进超话）,欢迎来到我的QQ空间～ 想投稿的宝子们 直接投稿给我就行！ 部分投稿内容源于网络｜（侵歉删！）,3,0.003992895123244265
34,3306212485,王浣熊的生活日记,f,23.4万,41,True,微博vlog博主,一个分享生活/养生/中西医知识/爱与美的快乐土味大杂烩微博小号。,2,0.003923028922952409
35,7055357333,你的皮炎有点辣,m,32065,2217,True,,一个备战中孝的gay｜这里没你想看的,1,0.0038064109676428514
36,1223812162,反射弧超长星人影九,m,535453,587,True,,（小号@影九影九 ）SB和2B的简单相加= = 发脾气需要长时间CD和读条星人。 （不教骂人谢谢。给学费也不教(｡•ˇ‸ˇ•｡),1,0.0038032510305480464
37,2599051311,喵喵困了-,f,10.3万,56,True,微博原创视频博主,来往不逢人 善恶都是我,2,0.0035232034568434146
38,7837816524,-哗然-,f,2115,647,True,,常华森全肯定☺︎ 网络冲浪，请勿上升,1,0.003509879320760067
39,2032139271,央证公开课,m,3700.7万,547,True,央证公开课官方微博,商务合作VX：yzgkk02,2,0.0034261540940976744
40,7524204707,小猫随身听-守护闪不亮版,m,2253,243,True,,想要征服的世界 始终都没有改变,1,0.0034147948313771157
41,1731176574,陈枝辉律师,m,238957,1952,True,,北京京都律所高级合伙人，网络发言仅代表个人观点,0,0.0034052704375722117
42,7210074173,你麻薯叻,m,20584,1861,True,,在你的隻字片語裡找到勇氣,1,0.003236239269112831
43,7755867260,财唯唯,f,39874,2666,True,,人群:低头族、久坐、不爱运动。爱好:喜欢吃各种各样的美食，架不住美食的诱惑。 曾经:五瘦六胖，一年半从175✂️到95，维持四年。目标:只瘦小肚子,1,0.003120412899443698
44,6444551595,阿楠搞笑日常,m,200939,13817,True,,分享搞笑幽默段子及趣味表情包和头像，带来快乐！部分来源网络.侵删 商务推广请私信 可投稿,1,0.0030852200538453163
45,3551109611,旅行厨男,m,307.4万,776,True,微博旅游出行账号 旅游博主 微博原创视频博主,旅行撰稿人，环球摄影师，航拍玩家，户外骑行爱好者，汽车数码手机测评，收藏纪录片，旅游攻略分享！爱旅行的一只厨男。🛫🇨🇳🚵,3,0.0030594859448516143
46,7521627877,星陈微语_随风而记,f,11914,1080,True,,陈哲远专属发疯版～,1,0.0029644599312987218
47,1933903170,花糕员外,f,397884,947,True,,饮食•风俗•掌故,1,0.002811004975814542
48,6112106422,小椰奶冻Oo,f,28421,352,True,,要和小熊一年又一年,1,0.0028042929175411155
49,7429584565,春日宴threeo3·,f,117618,3947,True,,因为你的出现 那场绵延千百年的雨 终于得以止息,1,0.002716296051269203
50,6510964983,别说了都是我老婆,m,104830,5260,True,,置顶评论/私信回fo,1,0.0025482084802571562
51,7396956580,南有菩提,f,17.9万,592,True,读物博主,关注后立马取关、快转文章的一律拉黑🗄  老福特：南有菩提   不要私信求car❗ ❗ ❗/镇魂,2,0.002483185907177842
52,1887344341,观察者网,m,2007.4万,1318,True,观察者网(www.guancha.cn)官方微博,关注我们,3,0.002414855023165819
53,5722825507,最新潮生活,f,254286,372,False,,呈现最新生活热门话题榜，汇聚最近生活热点话题，国内外的生活热门新鲜事一网打尽。,0,0.0023289525813165123
54,7166585564,生活每天都进步一点,f,1.6万,138.0,False,,美好生活，从小小的进步开始,6,0.0023289525813165123
55,5821975991,生活小智慧,m,23.5万,72,True,微博剪辑视频博主,原ID这个咩毛病，创造美好生活的无限可能，让你轻松成为生活达人。分享生活智慧，商务合作QQ：800023204,6,0.0023289525813165123
56,7766395630,香菜卷加工坊_gxt,f,18090,113,True,,关晓彤个人站——专注@关晓彤 相关数据，不管如何，会永远爱@关晓彤❤️,1,0.0023236085645366136
57,1365841235,独善一行,m,160.7万,269,True,青年作家 心理咨询师  微博新知博主 教育博主 微博原创视频博主,不矫情偶尔煽情的理性派知书少年。,2,0.002321982124647079
58,6033073678,你是唯一的姐妹儿,f,9.7万,3102,True,电视剧博主 微博原创视频博主,商务推广请私信,2,0.0022984634626809024
59,7843070496,晚风挽余生,m,44948,3198,True,电视剧博主 微博剪辑视频博主,图片和视频源自网络侵删晚风啊 ～ 撩拨着情人心上的弦。,0,0.0022834073272656706
60,1706596590,Hai科技,m,601030,2614,True,,科技很Hai，关注Hai科技,1,0.002281863274038564
61,6444081045,氛围感研究员,f,13.3万,81,False,,开心的事要专心记起📝,6,0.002272005056748937
62,6365990425,大河财立方,m,403万,559,True,大河财立方官方微博,河南日报社智慧财经全媒体平台,1,0.0022627332429568966
63,6168519077,榴莲吃不饱饱,f,33.9万,41,True,美食博主,买买买小能手，梦想是开一家啥都有卖的小卖部,7,0.002252277557952747
64,5508960754,糖醋小鱼干_neko,f,540797,111,True,,恶龙摇了摇尾巴,1,0.0022383366446138806
65,5851027596,是汪汪呢,f,217万,1084,True,数码博主 微博原创视频博主,,1,0.0022367876542428956
66,6494750481,酸梨种草机,f,21.3万,97,False,,我发现的东西都好用,7,0.0022268132626754446
67,7548920421,momo粒_,f,1407876,209,True,,momo也想玩手机 搞笑女勇闯机圈,1,0.0022263323406613252
68,2107493602,楚斌top,m,3775102,2347,True,,喜欢女粉，喜欢汽车,1,0.002225441299775429
69,6871070604,泡芙米_,m,309085,2198,True,,推广合作私信,1,0.0022222013282494515
70,7227825708,摸鱼办公室,m,805.4万,210,True,搞笑幽默博主 超话粉丝大咖（摸鱼办公室超话） 微博原创视频博主,商务合作请加vx：ZGMJ_666,2,0.0022182339245477006
71,6659216388,爱买的小丸仔,f,42.7万,129,False,,不知名时尚博主,6,0.002197349252975919
72,7872698952,红番茄日记本,f,18463,162,True,,･. ✧⁎⭑꙳ εïз ⋆⁺₊🍅⋆ ☆｡. ​​​,1,0.0021934491165061178
73,6641267980,全都值得马,f,13.1万,118,False,,,7,0.002178683919005548
74,6615104519,三月_Ysabeau,f,5.4万,118,True,情感博主,打扰了，我话有点多🧃 🍧 ysabeau1216@163.com,1,0.002167537949800367
75,2858270197,七百里加急递煎饼,m,254.6万,436,True,娱乐博主,国家一级东拉西扯种子选手,3,0.0021527023715865058
76,7516679696,九派新闻,m,442.6万,227,True,九派新闻官方微博,如果您有线索，请联系：jpbl@jp.jiupainews.com ，商务合作，请联系电话：18694040076,4,0.0021501663582419346
77,5985928016,在太空踢足球的国王,f,102,393.0,False,,我要我一点一点不见,7,0.0021450231631349576
78,6038922387,乔凯文,m,213万,1625,True,互联网科技博主,原ID@黑客凯文,2,0.002133588182451816
79,7752777629,阳红东,m,15.6万,1,True,投资内容创作者,私信要求加QQ，加微信群的是骗子，请勿上当,6,0.0021331601642133615
80,1699432410,新华社,m,1.12亿,3161,True,新华社法人微博,新华社官方微博，重大新闻权威首发平台。,3,0.002115144399071365
81,7809335092,JaniceMan吻奶珊,f,205300,11674,True,,💛 人间理想李宁玉，人间妄想文咏珊 💜 2025最大心愿：老贵和妈宝男分手分手分手！！专心搞事业！,1,0.002114527905890704
82,1700832492,晓看世间夜赏梅,f,75355,177,True,体育博主 头条文章作者,不限圈瑞萍✍️娱乐影视🍉梅西⚽️❤️雷大众雷点，雷阿伟罗一切❗️乐见女孩昂扬，但iqjf无豁免权。以上。,0,0.0021065258622057445
83,1867099473,张洲,m,238.4万,1840,True,互联网科技博主,来来来，最温柔的博主来了,2,0.0021008617633038553
84,6164052686,猫喜庆的小本本,f,1605931,2673,True,,外表慈祥内心抓狂的老母亲,1,0.0020888976141694706
85,5247461650,Winkyle,f,230,485,0,,戒断中,1,0.0020473589514371122
86,7799806116,大橘喵喵喵大栗,f,54499,3797,True,娱乐博主,反弹反弹反弹，攻击无效，且一亿倍反弹到你全家,0,0.002040957398054747
87,1762923331,蒲蒲super,f,2517872,1073,True,,畅销书《儿童长高补脑营养食谱》作者， 一个接地气的专家妈妈 合作➕vx：pupu0618,1,0.002039335150682812
88,6811672042,夜尘锋刃,m,2266919,1175,True,,国之大者 为国为民 商务合作:asdyanghan110,1,0.0020364134027312684
89,6587717377,张佳ZHJ,m,944045,988,True,,游戏前路探索者！多坑游戏Gamer聚集地～,1,0.00203616020854951
90,7354263795,00开飞机,f,5.5万,363,True,coser 00开飞机 动漫博主,每天能发一万条,1,0.002022651421227375
91,7769326398,依山尽雨,f,185941,21,True,,我乱七八糟的生活,1,0.0020137911345197556
92,3141296113,Do医生,m,508.3万,285,True,2024最具影响力健康医疗大V 2023微博年度新知博主 健康博主,记录自己生活，分享个人思考；所有言论，仅代表个人观点。,2,0.0019806714967699917
93,3514817904,绵卷卷,f,347168,582,True,,你的电子闺蜜💖👭🏻 // 🍠：卷崽好甜//    🛰️可以来找我聊天：mianjuanjuan,1,0.0019694439274933755
94,6651577358,今天看比赛了么,f,174534,1598,True,,私信可投稿～推广/冲榜合作私信  视频来源于网络有侵权请私,1,0.001957745827960961
95,7186013403,翦瞳秋,f,27.6万,162,True,娱乐博主,单口相声表演艺术家,2,0.0019228375797928588
96,1823630913,C科技,m,2843258,4121,True,,C科技：一只安静的科技狗。关注科技与数码资讯，投稿、爆料、合作，请私信。,1,0.001922527012548508
97,2048978227,碎碎九十三,f,195069,269,True,,,1,0.0019174565075072841
98,3170072514,撩汉机小魔女,m,56707,1780,True,,哪吒事业粉,1,0.0019010873971059931
99,5849859085,耗子头主任,f,42530,8,True,,撰写女人自己的史诗。‖ 周末不上线,1,0.0018869630988847946
100,7002084904,IKliyyy,m,55.5万,27,True,情感博主,上网来熬夜,2,0.0018579194949185046
101,3910809787,我深爱的68号少年,f,191,65,False,,在养猪,0,0.0018556089611605282
102,1411163204,健康时报,f,593.8万,929.0,True,健康时报官方微博,微健康，随时随地不随意！人民日报社主管主办，中国百强报刊，更多精彩还可关注健康时报微信“JKSB2013”。,2,0.001841661890998976
103,1791101941,玟玟佳,f,27357,4332,True,,会有痛苦的事 但开心和喜悦的事也会像山一样多 这就是人生 请自由地 豁达地 尽情地活下去,1,0.0018164879561479712
104,1885454921,蓝鲸新闻,f,526.1万,2640,True,蓝鲸新闻官方微博,影响有影响力的人,2,0.0017993653213851243
105,2028671027,馍兽,m,29616,587,True,,看别人的遭遇，悟自己的道理。,1,0.0017877165066220043
106,1800397245,胡杨说,m,1286874,568,True,,我们的围观，或许可以解决很多问题,1,0.0017816426502350955
107,5132656758,江湖李傅相,m,62.9万,4,True,微博原创视频博主 情感博主,+V：lifuxiang8335,2,0.0017646612705430463
108,6619742346,谎兔粉弑,m,15251,1284,True,,京畿道小兔仙,1,0.0017617008119192616
109,6239219507,番茄炖了西红柿啦,f,12.8万,2657.0,True,美食博主 超话粉丝钻咖（美食超话）,内容来源网络，侵删,2,0.0017436318957075607
110,5032932021,1X1X,m,177.4万,0,True,娱乐博主,想发啥就发啥,3,0.0017377944383864924
111,6337273840,辞念with,f,103244,1949,True,,这里江辞 商务：JcForWorking,1,0.0017182255833484356
112,6084405732,咩有失棉,m,152835,1355,True,微博原创视频博主,？,0,0.0016773653266760524
113,2844644700,若是微微笑,f,10589,2351,True,,昵称过于强大无法显示,1,0.0016727804242152766
114,7773204980,饱饱还没吃饱,f,61562,5513,True,,勇敢的人先享受世界,1,0.0016361742134751605
115,2172631523,江雨萌,f,1264507,1941,True,,时尚美妆博主，独立撰稿人。合作请私信联系！,1,0.001630865071377903
116,6569466125,CCS滋滋,f,2.6万,2683.0,True,娱乐博主 微博原创视频博主,图片视频源于网络 侵删,2,0.0016273034959474947
117,3991770291,潘明先生,m,3826924,969,True,,言论仅为个人观点，与供职单位无关。,1,0.0016124412687111434
118,5071206030,言者先声,m,31.7万,2334,True,中国网锦绣天府融媒体中心主编 校园博主 微博剪辑视频博主,言者先声，为美好生活发声。,1,0.001606304200656889
119,7558234208,可爱多赵蜀黍,m,336659,666,True,,跨越山海，终见曙光,1,0.0015827003489114909
120,7813929958,弦雨迟,f,27205,1553,True,,进击的巨人中的无垢巨人由李泽言白起周棋洛扮演,1,0.0015292132488125259
121,7868576207,奈芙er,f,529235,102,True,,励志当个有趣的super woman！ 商务合作+🛰fifiyo_7（需标注来意💕）,1,0.0015034724609201096
122,5148153495,保罗车闻Cars01,m,439.5万,369,True,汽车资讯博主,Cars01 豪华车平台🏎 专注豪华车品牌，性能车型，Hypercar，超跑Supercar，相关改装产品及活动！,2,0.0015028243834577654
123,1080814012,托帕兹,f,343924,504,True,,一个私人号！私人号！私人号！ 发表的一切内容仅代表个人观点。Solo追星，不约人。,1,0.0014822075366261265
124,6777372092,清酌月下酒,f,81071,602,True,,不熟别问稿价//朋友外不推画师//直fo不回//国家职业级画饼选手//木苏里，墙头激推//我讨厌立体gay//,1,0.001479164329308026
125,2022252207,小白测评,m,399.3万,2184,True,小白测评工作室创始人 数码博主 微博VLOG博主 微博原创视频博主,不客观 真体验 一个工具性的科技数码频道,3,0.0014638414591213005
126,7375010855,rini_Jay,f,13141,3952,True,,现充中 随缘看私信 皮下多人,0,0.0014272189010644417
127,1819746910,弘叔uncleHong,m,2056586,1737,True,,,0,0.0013830932077460508
128,7717887199,木木很瘦丫,m,286687,687,True,娱乐博主,网络就是玩，交朋友,0,0.0013453588035070368
129,7473692775,超酥脆的油条,f,98085,223,True,微博原创视频博主,（ｖ＾＿＾）～✄╰ひ╯,0,0.001330954457843793
130,2661992301,买家张俊,m,164.2万,1348,True,互联网科技博主 微博VLOG博主 微博原创视频博主 头条文章作者,科技、互联网、数码、汽车行业动态及热点分析，商务合作请私信,2,0.0013274402214643395
131,6059492811,拆台CT,m,74.4万,4287,True,互联网科技博主 微博原创视频博主 头条文章作者,合作请+yilantfy，记得注明来意。,2,0.0013197853546196806
132,2318910945,新浪热点,m,7893.1万,1113,True,新浪热点官方微博,,2,0.0012743774910901433
133,7478974298,羊了个卷-见过杨洋32次版,f,1.7万,612,True,娱乐博主,素质不详，稠人婉拒 请勿对号入座 公司今天倒闭了吗,2,0.0012639120304818487
134,6282596127,九号秘事局,f,24.7万,79.0,True,星座命理博主,微信公众号：jiuhaomishiju 小助理号：jiuhaohuangli,8,0.0012460849292150883
135,5862006754,内娱日记,m,132913,3766,True,游戏博主,别太把自己当回事 谁care你,0,0.0012250006507736255
136,2132386743,晨希渺渺,f,232603,1391,True,娱乐博主 超话粉丝大咖（总博主超话）,视频非原创，所有内容皆来源于网络，不喜勿喷。,0,0.001181910808048083
137,7832563648,呱唧花花花,m,8.6万,45.0,True,电视剧博主,体坛爱好者，看心情说废话。 都是假的。 呱唧小花花也是我。,2,0.0011723504220105924
