Source,Target,Weight,PMI
微博,视频,129,5.498148739604451
价格,元,26,5.423006538241457
元,购买,15,4.553106529578768
贵,卖,32,4.4729895694376856
护理,垫,72,4.317842206587729
消毒,级,41,4.289423699241027
内裤,一次性,54,4.201023371498166
点,苏菲,13,4.178384169521543
皮肤,接触,114,4.0304596739882355
pH,值,131,4.015749095438747
垃圾,残次品,15,3.9102783050376453
卫生用品,一次性,53,3.8819928694525703
晚会,315,74,3.8359734982582796
劣质,导致,20,3.760116558416763
晚会,曝光,60,3.533410728237848
女人,女,8,3.3850418701619835
垫,搜,22,3.3173473703486507
护理,搜,21,3.2931417659594047
价格,购买,17,3.2545109385220297
护垫,偏差,22,3.2540682658447695
商家,信任,34,3.2504145201054477
月,年,10,3.2502331744901136
曝光,315,58,3.2296406533688082
垃圾,生产,32,3.2174064381640894
女人,钱,13,3.1900121717743826
劣质,纸尿裤,12,3.1471396815260104
垃圾,纸尿裤,10,3.1273764267045805
残次品,纸尿裤,9,3.0875828368455553
发现,网友,36,3.0535951797075938
吸收,包装,14,3.013401580119542
里,垃圾,7,2.979342235462476
感觉,苏菲,5,2.973901946042862
护理,医用,91,2.9654707773435516
环境,影响,13,2.9282418464918787
垫,医用,91,2.922562185874261
垃圾,苏菲,6,2.907628726623696
选择,时,23,2.8718452762088784
护垫,卫生,26,2.854231780320508
国家标准,符合,40,2.771869739842441
里,公司,8,2.7278034684665116
称,客服,34,2.7144554282667377
里,纸尿裤,6,2.6712199401001437
想,女人,13,2.6473604759111904
长度,包装,59,2.639973114472103
女,钱,5,2.638663951658437
315,翻新,99,2.6071383415544687
发现,包装,16,2.5608490502074117
护垫,国家标准,23,2.5474446956419956
月,官方,10,2.545689058016285
吸收,月经,6,2.530357404260294
吸收,希望,8,2.515529986582655
吸收,长度,46,2.512838749216971
引发,事件,15,2.466227066840579
环境,pH,21,2.4657914047382525
想,钱,12,2.4635772451003457
回应,客服,48,2.407211379136488
吸收,误差,17,2.4048265221764353
时,购买,16,2.377727098044348
残次品,公司,7,2.366558786548371
吸收,更,23,2.3599141003008612
想,女,6,2.359046661629039
成本,压缩,256,2.3582619987173343
引发,导致,11,2.3575700033211158
影响,导致,8,2.3419731482700974
选择,消毒,10,2.3248828875717886
生产,纸尿裤,18,2.301601565580518
晚会,翻新,67,2.298731386320725
选择,级,10,2.282654652182491
里,市场,9,2.270121631779174
权益,消费者,47,2.2638964511725184
情况,偏差,8,2.247495611921283
偷工减料,压缩,256,2.2423580115735677
客服,质疑,22,2.2404578343261163
口碑,压缩,248,2.231538313720642
护理,买,26,2.2234376411399652
真的,女,7,2.2099908522343257
垫,买,26,2.180529049670674
卫生,消毒,15,2.177258234637313
女生,月经,4,2.171987313404872
称,回应,22,2.1677243077555435
消费品,正视,148,2.1674435743858114
残次品,元,2,2.1586659349070376
垫,元,4,2.1533716352375247
成本,偷工减料,260,2.1522510953436096
abc,感觉,7,2.140050256739691
晚会,年,7,2.1384191711607627
生产,残次品,14,2.1369708638077185
成本,口碑,251,2.136410828026126
感觉,没,6,2.134755957070178
环境,消毒,8,2.1087494567070233
皮肤,导致,14,2.107286299510776
官方,情况,6,2.094125682712327
消费品,需求,151,2.0869743397021017
偷工减料,口碑,262,2.082386288469038
东西,接触,14,2.078330523607359
搜,医用,30,2.0745652793193106
真的,感觉,8,2.0714300217013486
环境,值,15,2.0591416909521283
卫生用品,残次品,7,2.038871422372323
垃圾,中,11,2.034582331032721
需求,正视,161,2.005585666892699
女人,月经,4,2.0053374439954204
东西,女人,6,2.0013685417924747
长度,误差,70,1.997930104919386
环境,生产,17,1.9809796681937806
贵,感觉,4,1.9689470641000975
企业,残次品,13,1.9639205580918904
官方,ABC,28,1.939741532165793
医用,级,35,1.9363679853992912
称,公司,9,1.9278484582851592
贵,东西,6,1.9164796442059617
应,消费品,144,1.9052839913713442
月,女人,6,1.9018328682415604
行业,希望,10,1.901779062436874
信任,消费者,45,1.895911342083824
贵,女,3,1.8851154732966267
315,年,7,1.883558696772669
引发,关注,13,1.8582219194579306
女人,导致,5,1.8367378400196754
曝光,翻新,58,1.835762716602431
更,希望,15,1.8207793403233872
官方,买,13,1.8138545719532295
劣质,女人,5,1.803185280308649
公司,相关,7,1.8029699366197816
误差,包装,13,1.7858566710174915
官方,相关,6,1.765002086420761
月,东西,6,1.7603604422886798
应,正视,146,1.7512827372101083
更,购买,17,1.7501668980091578
纸尿裤,购买,5,1.7271359293538169
值,影响,12,1.7216167410137473
内裤,里,4,1.6921795587357902
护垫,医用,31,1.686933937381119
没,情况,6,1.6831925817662199
引发,网友,13,1.6725786842686878
国家标准,偏差,12,1.6625331112001271
应,需求,148,1.6614909355792022
贵,苏菲,3,1.6560899596277316
医用,买,58,1.6478292586565932
情况,相关,5,1.639471204336902
真的,做,15,1.6392319712643217
月经,情况,3,1.63469406407503
ABC,苏菲,14,1.6309888260261638
pH,标准,60,1.6274095870600243
消费品,女性,303,1.617874381598513
残次品,购买,4,1.6031472120783634
公司,元,2,1.6022725863826526
长度,偏差,30,1.6013329547633894
里,女人,3,1.5902999447165764
引发,质疑,8,1.5728197005956823
回应,质疑,13,1.5627660359317594
贵,没,6,1.5539095648212535
产品,接触,77,1.5537036861136777
发现,长度,37,1.5535325509343818
真的,女生,7,1.5494773185059927
内裤,没,7,1.5480329984845842
点,纸尿裤,3,1.545689058016285
做,女,4,1.5419107187788494
说,没,15,1.5391462121495132
女性,正视,322,1.5317164646412385
产品,皮肤,79,1.5212499654383018
事件,希望,5,1.5155299865826553
内裤,翻新,27,1.5126207427701788
购买,苏菲,3,1.5073882292729326
中,市场,16,1.5033600293274136
里,感觉,2,1.5012949386578316
国家标准,误差,19,1.4997028527421048
护垫,标准,29,1.4971998844772298
环境,市场,8,1.4954979115544431
质量,关注,13,1.4924873399211631
月,女生,4,1.4835202369298557
关注,消毒,8,1.4825642932593537
标准,值,51,1.4717214468071185
卖,官方,4,1.4647690626327177
年,消毒,3,1.4623864113217235
年,包装,3,1.4623864113217235
做,钱,7,1.4537962243077605
质量,消毒,9,1.4535082599752709
价格,情况,4,1.4450328445714555
说,感觉,7,1.4396105385985987
网友,中,16,1.4394327025378633
价格,月经,3,1.4330602029053796
企业,生产,31,1.4316958790726364
行业,残次品,6,1.426078781251406
真的,想,11,1.423946436422134
年,级,3,1.4201581759324262
质疑,偏差,6,1.4196765873039634
abc,ABC,30,1.4112459831036652
贵,钱,4,1.4046835560467772
里,卫生用品,4,1.4001161042904642
曝光,年,5,1.3981318696024272
晚会,纸尿裤,6,1.3855120331255348
卖,女,2,1.3850418701619833
客服,偏差,12,1.3795991479286285
点,感觉,2,1.3757640565739728
东西,导致,4,1.3733373191794327
东西,皮肤,9,1.3714526748344897
健康,选择,14,1.3652333890818034
护理,女生,5,1.362930096116267
点,做,5,1.3586035054157897
卫生用品,纸尿裤,5,1.3555052175901727
曝光,纸尿裤,7,1.3530439800738892
事件,中,10,1.3485583025296903
真的,月经,5,1.344859598897521
公司,客服,11,1.3313112647772298
点,月经,2,1.3272655388827828
吸收,影响,4,1.3250993297057012
垫,女生,5,1.320021504646976
卖,垃圾,3,1.3094908371548066
权益,影响,4,1.308420588559071
产品,符合,58,1.3079226400826505
官方,回应,9,1.3075293208215204
卫生用品,购买,6,1.304029000099087
企业,事件,13,1.3031905497527696
品牌,客服,83,1.3001882173465478
里,消毒,3,1.2984106762105976
官方,微博,6,1.291932465770502
内裤,情况,4,1.2891147011230224
卫生用品,国家标准,11,1.2865578638726813
企业,相关,12,1.284854490743365
里,abc,4,1.2841968169908966
里,残次品,2,1.2841968169908966
abc,月经,4,1.2841968169908966
感觉,315,5,1.2826546521824913
生产,偏差,12,1.280942095014425
产品,相关,35,1.2769011249521938
东西,垫,6,1.274933615118438
想,做,9,1.273714607829277
引发,行业,10,1.2675136419736412
符合,皮肤,15,1.2674847549683146
事件,消费者,29,1.2620392408817214
价格,东西,4,1.2591662992601214
希望,市场,6,1.2552942141015346
环境,中,8,1.2512611011747752
劣质,购买,4,1.2476665574799746
称,国家标准,10,1.2318546451752592
劣质,晚会,6,1.227970756139055
pH,影响,9,1.2278021283507863
应,女性,303,1.2213423511717427
感觉,女生,2,1.2204858310960618
国家标准,一次性,12,1.2187253732316243
客服,误差,19,1.2167688894706061
符合,误差,14,1.2022552034547205
劣质,曝光,7,1.195502703087409
情况,卫生,6,1.1916135276143829
长度,引发,27,1.1874354753312146
行业,事件,8,1.180386272191129
客服,ABC,41,1.1745831737623966
企业,公司,11,1.1665191100637102
品牌,信任,37,1.161196361640286
生产,一次性,15,1.1590624519332848
做,东西,6,1.1582373904093408
发现,没,7,1.156050735433406
点,视频,3,1.1516111773730875
国家标准,相关,8,1.1476181080072274
误差,中,15,1.13481919295267
一次性,翻新,29,1.1302874085640404
事件,质疑,5,1.1295485205878946
时,包装,7,1.1267833795372846
微博,翻新,28,1.1204469503405727
想,女生,4,1.1135706271795498
点,315,5,1.1086252524074423
搜,一次性,5,1.1076940608428802
说,买,20,1.1068720079453653
贵,情况,3,1.1023461895172957
品牌,苏菲,18,1.1016765222661824
权益,事件,4,1.099386550077642
点,翻新,13,1.0932589388947949
符合,消毒,7,1.0909381805905625
官方,事件,4,1.0828984272890732
企业,行业,17,1.0764627487162355
垃圾,购买,3,1.0759002092134946
贵,符合,6,1.0755461301735803
月,ABC,17,1.0719507562462147
真的,没,8,1.0714300217013486
abc,买,12,1.0703461319202512
真的,医用,30,1.0656871279728581
官方,翻新,17,1.065244562725198
东西,买,8,1.0650518322507383
选择,购买,4,1.0612534332490935
月经,时,4,1.0587767029568806
翻新,纸尿裤,15,1.0587017168584265
回应,符合,14,1.055662705843032
卖,没,4,1.0538359616866102
残次品,翻新,13,1.050190217002909
说,官方,8,1.0431887174871017
卖,做,5,1.0366754105284275
卫生用品,生产,12,1.0304977297708382
感觉,翻新,11,1.0262802391660488
abc,苏菲,3,1.019838230209721
权益,关注,5,1.0197603750497826
卫生,偏差,7,1.014834855131008
国家标准,回应,15,1.0120734372953493
信任,影响,4,1.003171234818339
年,影响,2,0.9964765822443307
吸收,感觉,2,0.9938934212303282
环境,卫生,6,0.9899796664447325
感觉,钱,2,0.9855299482957015
说,想,11,0.9847720312617799
回应,时,13,0.9845927008732422
想,月经,3,0.9793422354624759
月经,买,5,0.9759113300622024
品牌,质疑,32,0.9652262253749581
说,女,4,0.9634615250163676
点,没,3,0.9607265572951288
品牌,回应,62,0.9606451984883463
感觉,医用,10,0.9590880618993749
产品,国家标准,50,0.9506728926312059
女性,钱,43,0.9456528627709496
